id	me_id	name	formula	compartment	type
3omrsACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_3omrs(1)				REPLACE
3ooctACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_3ooct(1)				REPLACE
3ooctdACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_3ooctd(1)				REPLACE
3opalmACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_3opalm(1)				REPLACE
4m3hhexACP_c					CURATE
4m3hpentACP_c					CURATE
4m3ohexACP_c					CURATE
4m3opentACP_c					CURATE
4mhexACP_c					CURATE
4mpentACP_c					CURATE
4mthex2eACP_c					CURATE
5m3hhexACP_c					CURATE
5m3ohexACP_c					CURATE
5mhexACP_c					CURATE
5mthex2eACP_c					CURATE
6m3hheptACP_c					CURATE
6m3hocACP_c					CURATE
6m3oheptACP_c					CURATE
6m3oocACP_c					CURATE
6mheptACP_c					CURATE
6mocACP_c					CURATE
6mtoct2eACP_c					CURATE
7m3hocACP_c					CURATE
7m3oocACP_c					CURATE
7mocACP_c					CURATE
7mtoct2eACP_c					CURATE
8m3hdcaACP_c					CURATE
8m3hnonACP_c					CURATE
8m3odcaACP_c					CURATE
8m3ononACP_c					CURATE
8mdcaACP_c					CURATE
8mnonACP_c					CURATE
8mtdec2eACP_c					CURATE
9m3hdcaACP_c					CURATE
9m3odcaACP_c					CURATE
9mdcaACP_c					CURATE
9mtdec2eACP_c					CURATE
ACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)				REPLACE
LI_c					CURATE
acACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_ac(1)				REPLACE
actACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_act(1)				REPLACE
alatrna_c					REMOVE
alpp_p					CURATE
apoACP_c	g.28337.CDS.1656-MONOMER				REPLACE
argtrna_c					REMOVE
asntrna_c					REMOVE
asptrna_c					REMOVE
but2eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_but2e(1)				REPLACE
butACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_but(1)				REPLACE
bwco1gdp_c					REMOVE
bwco_c					REMOVE
bwcogdp_c					REMOVE
cddec5eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_cddec5e(1)				REPLACE
cdec3eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_cdec3e(1)				REPLACE
cystrna_c					REMOVE
dcaACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_dca(1)				REPLACE
ddcaACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_ddca(1)				REPLACE
dsbaox_p					CURATE
dsbard_p					CURATE
dsbcox_p					CURATE
dsbcrd_p					CURATE
dsbdox_c					CURATE
dsbdrd_c					CURATE
dsbgox_p					CURATE
dsbgrd_p					CURATE
egmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_egme(1)				REPLACE
epmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_epme(1)				REPLACE
fldox_c					CURATE
fldrd_c					CURATE
flxr_c					CURATE
flxso_c					CURATE
fmettrna_c					REMOVE
glntrna_c					REMOVE
glutrna_c					REMOVE
glytrna_c					REMOVE
gmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_gme(1)				REPLACE
grxox_c					CURATE
grxrd_c					CURATE
hdeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_hde(1)				REPLACE
hexACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_hex(1)				REPLACE
hgmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_hgme(1)				REPLACE
histrna_c					REMOVE
hpmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_hpme(1)				REPLACE
iletrna_c					REMOVE
iscs_c					CURATE
iscssh_c					CURATE
iscu_c					CURATE
leutrna_c					REMOVE
lipopb_c					REMOVE
lpp_p					CURATE
lystrna_c					REMOVE
malACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_mal(1)				REPLACE
mettrna_c					REMOVE
moadamp_c					CURATE
moadcoo_c					CURATE
moadcosh_c					CURATE
myrsACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_myrs(1)				REPLACE
ocACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_oc(1)				REPLACE
ocdcaACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_ocdca(1)				REPLACE
octapb_c					REMOVE
octeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_octe(1)				REPLACE
ogmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_ogme(1)				REPLACE
opmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_opme(1)				REPLACE
palmACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_palm(1)				REPLACE
phetrna_c					REMOVE
pimACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_pim(1)				REPLACE
pmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_pme(1)				REPLACE
protrna_c					REMOVE
sectrna_c					REMOVE
sertrna[sec]_c					REMOVE
sertrna_c					REMOVE
sufbcd_c					CURATE
sufse_c					CURATE
sufsesh_c					CURATE
t3c11vaceACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)				REPLACE
t3c5ddeceACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)				REPLACE
t3c7mrseACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)				REPLACE
t3c9palmeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)				REPLACE
tddec2eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_tddec2e(1)				REPLACE
tdeACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_tde(1)				REPLACE
tdec2eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_tdec2e(1)				REPLACE
thex2eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_thex2e(1)				REPLACE
thrtrna_c					REMOVE
tmrs2eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)				REPLACE
toct2eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_toct2e(1)				REPLACE
toctd2eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_toctd2e(1)				REPLACE
tpalm2eACP_c	g.28337.CDS.1656-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)				REPLACE
trdox_c	g.28337.CDS.910-MONOMER_mod_Oxidized(1)				REPLACE
trdrd_c	g.28337.CDS.910-MONOMER				REPLACE
trnaala_c					REMOVE
trnaarg_c					REMOVE
trnaasn_c					REMOVE
trnaasp_c					REMOVE
trnacys_c					REMOVE
trnagln_c					REMOVE
trnaglu_c					REMOVE
trnagly_c					REMOVE
trnahis_c					REMOVE
trnaile_c					REMOVE
trnaleu_c					REMOVE
trnalys_c					REMOVE
trnamet_c					REMOVE
trnaphe_c					REMOVE
trnapro_c					REMOVE
trnasecys_c					REMOVE
trnaser_c					REMOVE
trnathr_c					REMOVE
trnatrp_c					REMOVE
trnatyr_c					REMOVE
trnaval_c					REMOVE
trptrna_c					REMOVE
tyrtrna_c					REMOVE
valtrna_c					REMOVE
wco_c					REMOVE
